exp,prod,sum,const,nodes,unique_feats,filename,algo
4,0,0,22,26,21,COIL20_new/COIL20_run_19/COIL20-0.030594306580221553-72.0.tree,NEW
9,2,0,26,37,25,COIL20_new/COIL20_run_19/COIL20-0.02731643332215483-2148.0.tree,NEW
2,1,2,23,28,23,COIL20_new/COIL20_run_19/COIL20-0.04387700042849674-50.0.tree,NEW
1,0,0,5,6,5,COIL20_new/COIL20_run_19/COIL20-0.11951332997987907-12.0.tree,NEW
2,0,0,14,16,14,COIL20_new/COIL20_run_19/COIL20-0.05042331535509309-32.0.tree,NEW
4,0,0,21,25,19,COIL20_new/COIL20_run_19/COIL20-0.03707552025113703-70.0.tree,NEW
2,1,2,22,27,22,COIL20_new/COIL20_run_19/COIL20-0.0463050408935099-48.0.tree,NEW
2,0,0,13,15,13,COIL20_new/COIL20_run_19/COIL20-0.055148751304121724-30.0.tree,NEW
3,0,0,19,22,18,COIL20_new/COIL20_run_19/COIL20-0.04238842778895535-54.0.tree,NEW
2,0,0,9,11,9,COIL20_new/COIL20_run_19/COIL20-0.08796327734928117-22.0.tree,NEW
4,1,0,23,28,23,COIL20_new/COIL20_run_19/COIL20-0.030467923280423526-74.0.tree,NEW
9,1,0,25,35,25,COIL20_new/COIL20_run_19/COIL20-0.02766933778597408-164.0.tree,NEW
0,0,0,7,7,7,COIL20_new/COIL20_run_19/COIL20-0.11394804009240667-14.0.tree,NEW
2,0,0,10,12,10,COIL20_new/COIL20_run_19/COIL20-0.08188421035472115-24.0.tree,NEW
7,2,0,26,35,25,COIL20_new/COIL20_run_19/COIL20-0.02752149470899473-2134.0.tree,NEW
7,1,0,25,33,25,COIL20_new/COIL20_run_19/COIL20-0.027857818205529072-150.0.tree,NEW
1,0,0,9,10,9,COIL20_new/COIL20_run_19/COIL20-0.09615747727103385-20.0.tree,NEW
1,0,0,3,4,3,COIL20_new/COIL20_run_19/COIL20-0.15407019664282018-8.0.tree,NEW
1,1,2,22,26,21,COIL20_new/COIL20_run_19/COIL20-0.048384729674342486-46.0.tree,NEW
0,0,0,2,2,2,COIL20_new/COIL20_run_19/COIL20-0.17269562979730224-4.0.tree,NEW
3,0,0,21,24,20,COIL20_new/COIL20_run_19/COIL20-0.0371922041508298-58.0.tree,NEW
1,0,0,13,14,13,COIL20_new/COIL20_run_19/COIL20-0.07101904249571545-28.0.tree,NEW
0,0,0,1,1,1,COIL20_new/COIL20_run_19/COIL20-1.1240121283255067-2.0.tree,NEW
6,1,0,24,31,23,COIL20_new/COIL20_run_19/COIL20-0.028451100119233685-136.0.tree,NEW
3,0,0,20,23,19,COIL20_new/COIL20_run_19/COIL20-0.0382331954691113-56.0.tree,NEW
